si.dos
# , E (eV) ,  dos(E)    , Int dos(E) 
  ,-9.000,0E+00,0E+00
  ,-8.990,0E+00,0E+00
  ,-8.980,0E+00,0E+00
  ,-8.970,0E+00,0E+00
  ,-8.960,0E+00,0E+00
  ,-8.950,0E+00,0E+00
  ,-8.940,0E+00,0E+00
  ,-8.930,0E+00,0E+00
  ,-8.920,0E+00,0E+00
  ,-8.910,0E+00,0E+00
  ,-8.900,0E+00,0E+00
  ,-8.890,0E+00,0E+00
  ,-8.880,0E+00,0E+00
  ,-8.870,0E+00,0E+00
  ,-8.860,0E+00,0E+00
  ,-8.850,0E+00,0E+00
  ,-8.840,0E+00,0E+00
  ,-8.830,0E+00,0E+00
  ,-8.820,0E+00,0E+00
  ,-8.810,0E+00,0E+00
  ,-8.800,0E+00,0E+00
  ,-8.790,0E+00,0E+00
  ,-8.780,0E+00,0E+00
  ,-8.770,0E+00,0E+00
  ,-8.760,0E+00,0E+00
  ,-8.750,0E+00,0E+00
  ,-8.740,0E+00,0E+00
  ,-8.730,0E+00,0E+00
  ,-8.720,0E+00,0E+00
  ,-8.710,0E+00,0E+00
  ,-8.700,0E+00,0E+00
  ,-8.690,0E+00,0E+00
  ,-8.680,0E+00,0E+00
  ,-8.670,0E+00,0E+00
  ,-8.660,0E+00,0E+00
  ,-8.650,0E+00,0E+00
  ,-8.640,0E+00,0E+00
  ,-8.630,0E+00,0E+00
  ,-8.620,0E+00,0E+00
  ,-8.610,0E+00,0E+00
  ,-8.600,0E+00,0E+00
  ,-8.590,0E+00,0E+00
  ,-8.580,0E+00,0E+00
  ,-8.570,0E+00,0E+00
  ,-8.560,0E+00,0E+00
  ,-8.550,0E+00,0E+00
  ,-8.540,0E+00,0E+00
  ,-8.530,0E+00,0E+00
  ,-8.520,0E+00,0E+00
  ,-8.510,0E+00,0E+00
  ,-8.500,0E+00,0E+00
  ,-8.490,0E+00,0E+00
  ,-8.480,0E+00,0E+00
  ,-8.470,0E+00,0E+00
  ,-8.460,0E+00,0E+00
  ,-8.450,0E+00,0E+00
  ,-8.440,0E+00,0E+00
  ,-8.430,0E+00,0E+00
  ,-8.420,0E+00,0E+00
  ,-8.410,0E+00,0E+00
  ,-8.400,0E+00,0E+00
  ,-8.390,0E+00,0E+00
  ,-8.380,0E+00,0E+00
  ,-8.370,0E+00,0E+00
  ,-8.360,0E+00,0E+00
  ,-8.350,0E+00,0E+00
  ,-8.340,0E+00,0E+00
  ,-8.330,0E+00,0E+00
  ,-8.320,0E+00,0E+00
  ,-8.310,0E+00,0E+00
  ,-8.300,0E+00,0E+00
  ,-8.290,0E+00,0E+00
  ,-8.280,0E+00,0E+00
  ,-8.270,0E+00,0E+00
  ,-8.260,0E+00,0E+00
  ,-8.250,0E+00,0E+00
  ,-8.240,0E+00,0E+00
  ,-8.230,0E+00,0E+00
  ,-8.220,0E+00,0E+00
  ,-8.210,0E+00,0E+00
  ,-8.200,0E+00,0E+00
  ,-8.190,0E+00,0E+00
  ,-8.180,0E+00,0E+00
  ,-8.170,0E+00,0E+00
  ,-8.160,0E+00,0E+00
  ,-8.150,0E+00,0E+00
  ,-8.140,0E+00,0E+00
  ,-8.130,0E+00,0E+00
  ,-8.120,0E+00,0E+00
  ,-8.110,0E+00,0E+00
  ,-8.100,0E+00,0E+00
  ,-8.090,0E+00,0E+00
  ,-8.080,0E+00,0E+00
  ,-8.070,0E+00,0E+00
  ,-8.060,0E+00,0E+00
  ,-8.050,0E+00,0E+00
  ,-8.040,0E+00,0E+00
  ,-8.030,0E+00,0E+00
  ,-8.020,0E+00,0E+00
  ,-8.010,0E+00,0E+00
  ,-8.000,0E+00,0E+00
  ,-7.990,0E+00,0E+00
  ,-7.980,0E+00,0E+00
  ,-7.970,0E+00,0E+00
  ,-7.960,0E+00,0E+00
  ,-7.950,0E+00,0E+00
  ,-7.940,0E+00,0E+00
  ,-7.930,0E+00,0E+00
  ,-7.920,0E+00,0E+00
  ,-7.910,0E+00,0E+00
  ,-7.900,0E+00,0E+00
  ,-7.890,0E+00,0E+00
  ,-7.880,0E+00,0E+00
